# Frequency (GHz),Electric Dipole Moment * 377 (Vm),Magnetic Dipole Moment (Vm)
8.107299999999999507e-01,6.734147972146904216e-04,4.982594210713649566e-03
8.182274999999999965e-01,6.857550997062745101e-04,5.027276102161588010e-03
8.257250000000000423e-01,6.982027847436191341e-04,5.071920879257767016e-03
8.332224999999999770e-01,7.107576906918839071e-04,5.116528265570500882e-03
8.407200000000000228e-01,7.234196548534120499e-04,5.161097986245971082e-03
8.482174999999999576e-01,7.361885134785988664e-04,5.205629768015720277e-03
8.557150000000000034e-01,7.490641017767149003e-04,5.250123339203710028e-03
8.632125000000000492e-01,7.620462539267064319e-04,5.294578429733117451e-03
8.707099999999999840e-01,7.751348030882169353e-04,5.338994771132970531e-03
8.782075000000000298e-01,7.883295814126076682e-04,5.383372096544872774e-03
8.857049999999999645e-01,8.016304200539638419e-04,5.427710140729248220e-03
8.932025000000000103e-01,8.150371491804383030e-04,5.472008640071688787e-03
9.006999999999999451e-01,8.285495979851411523e-04,5.516267332588614680e-03
9.081974999999999909e-01,8.421675946977478632e-04,5.560485957933601793e-03
9.156950000000000367e-01,8.558909665956571317e-04,5.604664257402687359e-03
9.231924999999999715e-01,8.697195400154104526e-04,5.648801973940118827e-03
9.306900000000000173e-01,8.836531403641627617e-04,5.692898852143427058e-03
9.381874999999999520e-01,8.976915921311970966e-04,5.736954638268817845e-03
9.456849999999999978e-01,9.118347188995331492e-04,5.780969080236032613e-03
9.531825000000000436e-01,9.260823433574321686e-04,5.824941927633174414e-03
9.606799999999999784e-01,9.404342873101883106e-04,5.868872931721227752e-03
9.681775000000000242e-01,9.548903716919066509e-04,5.912761845438650396e-03
9.756749999999999590e-01,9.694504165770670683e-04,5.956608423405822944e-03
9.831725000000000048e-01,9.841142411926352175e-04,6.000412421928554702e-03
9.906700000000000506e-01,9.988816639297755980e-04,6.044173599002763096e-03
9.981674999999999853e-01,1.013752502355769755e-03,6.087891714317572762e-03
1.005665000000000031e+00,1.028726573226059057e-03,6.131566529259329691e-03
1.013162499999999966e+00,1.043803692496362602e-03,6.175197806914835622e-03
1.020659999999999901e+00,1.058983675334495460e-03,6.218785312074549473e-03
1.028157500000000057e+00,1.074266336132667860e-03,6.262328811235658675e-03
1.035654999999999992e+00,1.089651488519650588e-03,6.305828072605160033e-03
1.043152499999999927e+00,1.105138945372849098e-03,6.349282866102145227e-03
1.050650000000000084e+00,1.120728518830539817e-03,6.392692963360716886e-03
1.058147500000000019e+00,1.136420020304280357e-03,6.436058137732179538e-03
1.065644999999999953e+00,1.152213260491085972e-03,6.479378164287351999e-03
1.073142500000000110e+00,1.168108049385770163e-03,6.522652819818373221e-03
1.080640000000000045e+00,1.184104196293333860e-03,6.565881882840746663e-03
1.088137499999999980e+00,1.200201509841415312e-03,6.609065133594827814e-03
1.095634999999999915e+00,1.216399797992631562e-03,6.652202354047541573e-03
1.103132500000000071e+00,1.232698868057090138e-03,6.695293327893539308e-03
1.110630000000000006e+00,1.249098526704930240e-03,6.738337840556515509e-03
1.118127499999999941e+00,1.265598579978646212e-03,6.781335679189907754e-03
1.125625000000000098e+00,1.282198833305852725e-03,6.824286632678181266e-03
1.133122500000000032e+00,1.298899091511695201e-03,6.867190491637040553e-03
1.140619999999999967e+00,1.315699158831459522e-03,6.910047048414242991e-03
1.148117499999999902e+00,1.332598838923215344e-03,6.952856097089716789e-03
