# Frequency (GHz),Output Power (W)
2.062812500000000160e+00,4.141164851560960873e-05
2.070310000000000095e+00,4.166305728774822556e-05
2.077807500000000029e+00,4.191478546968673479e-05
2.085304999999999964e+00,4.216682889736209403e-05
2.092802499999999899e+00,4.241918341848614370e-05
2.100299999999999834e+00,4.267184489263590075e-05
2.107797500000000213e+00,4.292480919133660180e-05
2.115295000000000147e+00,4.317807219814978777e-05
2.122792500000000082e+00,4.343162980875997904e-05
2.130290000000000017e+00,4.368547793105525883e-05
2.137787499999999952e+00,4.393961248521936259e-05
2.145284999999999886e+00,4.419402940381182763e-05
2.152782499999999821e+00,4.444872463185933721e-05
2.160280000000000200e+00,4.470369412693372203e-05
2.167777500000000135e+00,4.495893385924251153e-05
2.175275000000000070e+00,4.521443981171342704e-05
2.182772500000000004e+00,4.547020798007781796e-05
2.190269999999999939e+00,4.572623437295563609e-05
2.197767499999999874e+00,4.598251501194477390e-05
2.205264999999999809e+00,4.623904593170130226e-05
2.212762500000000188e+00,4.649582318002519016e-05
2.220260000000000122e+00,4.675284281795144548e-05
2.227757500000000057e+00,4.701010091982798101e-05
2.235254999999999992e+00,4.726759357340403796e-05
2.242752499999999927e+00,4.752531687991973420e-05
2.250249999999999861e+00,4.778326695418367968e-05
2.257747499999999796e+00,4.804143992466474052e-05
2.265245000000000175e+00,4.829983193357794172e-05
2.272742500000000110e+00,4.855843913696723249e-05
2.280240000000000045e+00,4.881725770479226298e-05
2.287737499999999979e+00,4.907628382101840707e-05
2.295234999999999914e+00,4.933551368369812486e-05
2.302732499999999849e+00,4.959494350506226610e-05
2.310229999999999784e+00,4.985456951160128369e-05
2.317727500000000163e+00,5.011438794415886132e-05
2.325225000000000097e+00,5.037439505801574263e-05
2.332722500000000032e+00,5.063458712297402116e-05
2.340219999999999967e+00,5.089496042345168951e-05
2.347717499999999902e+00,5.115551125856242990e-05
2.355214999999999836e+00,5.141623594221246053e-05
2.362712500000000215e+00,5.167713080317920115e-05
2.370210000000000150e+00,5.193819218520797043e-05
2.377707500000000085e+00,5.219941644709387028e-05
2.385205000000000020e+00,5.246079996277476975e-05
2.392702499999999954e+00,5.272233912142048067e-05
2.400199999999999889e+00,5.298403032751680360e-05
2.407697499999999824e+00,5.324587000096139849e-05
2.415195000000000203e+00,5.350785457714955854e-05
2.422692500000000138e+00,5.376998050706243044e-05
2.430190000000000072e+00,5.403224425736358964e-05
2.437687500000000007e+00,5.429464231047903414e-05
2.445184999999999942e+00,5.455717116469745967e-05
2.452682499999999877e+00,5.481982733425444119e-05
2.460179999999999811e+00,5.508260734942435968e-05
2.467677500000000190e+00,5.534550775661154968e-05
2.475175000000000125e+00,5.560852511844133157e-05
